fold,train_size,test_size,train_fail_rate,test_fail_rate,accuracy,auc_roc,precision,recall,f1_score,confusion_matrix,tn,fp,fn,tp
1,742,186,0.3045822102425876,0.3064516129032258,0.8709677419354839,0.9517203862369101,0.8113207547169812,0.7543859649122807,0.7818181818181819,"[[119, 10], [14, 43]]",119,10,14,43
2,742,186,0.3045822102425876,0.3064516129032258,0.9086021505376344,0.9815041479668163,0.803030303030303,0.9298245614035088,0.8617886178861789,"[[116, 13], [4, 53]]",116,13,4,53
3,742,186,0.3045822102425876,0.3064516129032258,0.9086021505376344,0.9775601795185639,0.8448275862068966,0.8596491228070176,0.8521739130434782,"[[120, 9], [8, 49]]",120,9,8,49
4,743,185,0.30551816958277256,0.3027027027027027,0.8702702702702703,0.9518272425249169,0.8333333333333334,0.7142857142857143,0.7692307692307693,"[[121, 8], [16, 40]]",121,8,16,40
5,743,185,0.30551816958277256,0.3027027027027027,0.8972972972972973,0.967469545957918,0.9111111111111111,0.7321428571428571,0.8118811881188119,"[[125, 4], [15, 41]]",125,4,15,41
