fold,train_size,test_size,train_fail_rate,test_fail_rate,accuracy,auc_roc,precision,recall,f1_score,confusion_matrix,tn,fp,fn,tp
1,880,220,0.11477272727272728,0.11363636363636363,0.9227272727272727,0.882051282051282,1.0,0.32,0.48484848484848486,"[[195, 0], [17, 8]]",195,0,17,8
2,880,220,0.11477272727272728,0.11363636363636363,0.9136363636363637,0.9424615384615384,0.875,0.28,0.42424242424242425,"[[194, 1], [18, 7]]",194,1,18,7
3,880,220,0.11477272727272728,0.11363636363636363,0.9318181818181818,0.9455384615384615,0.9166666666666666,0.44,0.5945945945945946,"[[194, 1], [14, 11]]",194,1,14,11
4,880,220,0.11477272727272728,0.11363636363636363,0.9227272727272727,0.9027692307692308,0.9,0.36,0.5142857142857142,"[[194, 1], [16, 9]]",194,1,16,9
5,880,220,0.11363636363636363,0.11818181818181818,0.9272727272727272,0.9361617763679619,0.9166666666666666,0.4230769230769231,0.5789473684210527,"[[193, 1], [15, 11]]",193,1,15,11
