fold,train_size,test_size,train_fail_rate,test_fail_rate,accuracy,auc_roc,precision,recall,f1_score,confusion_matrix,tn,fp,fn,tp
1,219,55,0.3059360730593607,0.3090909090909091,0.8181818181818182,0.8575851393188855,0.8181818181818182,0.5294117647058824,0.6428571428571429,"[[36, 2], [8, 9]]",36,2,8,9
2,219,55,0.3059360730593607,0.3090909090909091,0.8363636363636363,0.8343653250773992,0.8333333333333334,0.5882352941176471,0.6896551724137931,"[[36, 2], [7, 10]]",36,2,7,10
3,219,55,0.3059360730593607,0.3090909090909091,0.8181818181818182,0.9226006191950464,1.0,0.4117647058823529,0.5833333333333334,"[[38, 0], [10, 7]]",38,0,10,7
4,219,55,0.3059360730593607,0.3090909090909091,0.8545454545454545,0.8591331269349846,0.9090909090909091,0.5882352941176471,0.7142857142857143,"[[37, 1], [7, 10]]",37,1,7,10
5,220,54,0.3090909090909091,0.2962962962962963,0.8703703703703703,0.890625,0.8461538461538461,0.6875,0.7586206896551724,"[[36, 2], [5, 11]]",36,2,5,11
