feature,importance
days_since_last_activity,15.26808503158268
completion_consistency,13.802306866507754
mooc_completion_rate,7.995129589649638
relative_to_course_completion,7.949316639318959
weeks_to_complete_estimate,7.685767261281522
max_inactive_gap_days,5.082893207431753
relative_completion,4.644538144437991
video_total_duration,4.365173966438774
progress_velocity,3.18568587958559
video_views,2.472943236721846
progress_rate,2.237882347776928
overall_completion,1.7403464679512834
enrollment_phase,1.6407749977012094
video_total_videos,1.5440801187226592
access_frequency,1.5312078168323364
h5p_total_time_spent,1.190002061566018
problem_avg_score,1.0062336549379094
relative_to_course_problem_score,0.940577171965472
quiz_attempts,0.9207110845794764
video_completion_rate,0.8416789766035605
