Metric,Mean,Std,Min,Max
ACCURACY,0.9826554464703132,0.012652770147697126,0.956989247311828,1.0
PRECISION,0.9654110588321114,0.027349012840022974,0.9210526315789473,1.0
RECALL,0.9916666666666668,0.013417941431656893,0.9722222222222222,1.0
F1,0.9781490359740408,0.015704509438593982,0.9459459459459458,1.0
AUC,0.9997554650515177,0.0006189519573481405,0.9980506822612085,1.0
