week,accuracy,accuracy_std,precision,recall,f1,f1_std,auc,auc_std
2,0.7890151515151516,0.04894431910670635,0.8743130227001193,0.8869458128078819,0.8793484481620075,0.03150578888880151,0.4516625615763547,0.17442430431533273
4,0.8284936479128856,0.04260486843783217,0.8863183349783533,0.9245490196078432,0.9038862504708017,0.026828917946622757,0.6223940242763772,0.058614573988653024
6,0.8029563932002957,0.020915685322218592,0.9195810699673803,0.8096774193548388,0.8607842525767812,0.01719475644991687,0.8767668174665617,0.033721015739788404
8,0.8558026803535785,0.020274452589143243,0.9460303054083138,0.8578427696537932,0.8997304442722746,0.014302586428890235,0.9333705855002735,0.012054897395765232
