week,accuracy,precision,recall,f1,auc,train_size,test_size,tn,fp,fn,tp
2,0.7575757575757576,0.92,0.7931034482758621,0.851851851851852,0.6637931034482758,128,33,2,2,6,23
4,0.7413793103448276,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.7759103641456583,228,58,4,3,12,39
6,0.8121212121212121,0.9603960396039604,0.782258064516129,0.8622222222222222,0.8821793863099922,657,165,37,4,27,97
8,0.8214285714285714,0.9532710280373832,0.8031496062992126,0.8717948717948718,0.9178989821394277,671,168,36,5,25,102
