feature,importance
days_since_last_activity,53.085213522441535
mooc_completion_rate,5.135968025678973
h5p_total_time_spent,4.848583213452686
quiz_attempts,3.8302727766307667
video_total_duration,3.3008077065057355
video_watch_rate,2.900049069557792
video_total_videos,2.744242857218575
video_total_watched_time,2.632772436769447
h5p_completed_contents,2.6184797355204728
h5p_total_max_score,2.3972733538717463
h5p_completion_rate,2.2041507451405704
video_completed_videos,2.1686428065233887
h5p_total_score,2.127877470514574
overall_completion,1.6594252785085502
quiz_avg_score,1.5005068078013566
discussion_comments_count,1.4250084437701918
video_completion_rate,1.3598681224168454
quiz_completion_rate,1.349248369776869
h5p_overall_percentage,1.3369441498254646
discussion_total_interactions,0.6638307512098878
h5p_total_contents,0.46408520222297567
discussion_threads_count,0.18889254060418958
weeks_since_enrollment,0.05606137895092579
discussion_questions_count,0.0017952350864562782
is_active,0.0
enrollment_mode,0.0
progress_percent,0.0
total_blocks,0.0
active_days,0.0
access_frequency,0.0
completed_blocks,0.0
video_in_progress_videos,0.0
forum_upvotes,0.0
forum_comments,0.0
forum_posts,0.0
discussion_total_upvotes,0.0
relative_to_course_problem_score,0.0
relative_to_course_completion,0.0
relative_to_course_video_completion,0.0
relative_to_course_discussion,0.0
performance_percentile,0.0
is_below_course_average,0.0
is_top_performer,0.0
is_bottom_performer,0.0
