fold,train_size,test_size,train_fail_rate,test_fail_rate,accuracy,auc_roc,precision,recall,f1_score,confusion_matrix,tn,fp,fn,tp
1,328,83,0.2652439024390244,0.26506024096385544,0.9759036144578314,0.9985096870342771,0.9545454545454546,0.9545454545454546,0.9545454545454546,"[[60, 1], [1, 21]]",60,1,1,21
2,329,82,0.2674772036474164,0.25609756097560976,0.9878048780487805,1.0,0.9545454545454546,1.0,0.9767441860465116,"[[60, 1], [0, 21]]",60,1,0,21
3,329,82,0.26443768996960487,0.2682926829268293,0.9512195121951219,0.9962121212121212,0.95,0.8636363636363636,0.9047619047619048,"[[59, 1], [3, 19]]",59,1,3,19
4,329,82,0.26443768996960487,0.2682926829268293,0.9878048780487805,1.0,1.0,0.9545454545454546,0.9767441860465116,"[[60, 0], [1, 21]]",60,0,1,21
5,329,82,0.26443768996960487,0.2682926829268293,1.0,1.0,1.0,1.0,1.0,"[[60, 0], [0, 22]]",60,0,0,22
